Domain,Area,Element,Item,Year,Unit,Value,Note
"Agriculture Total","Africa","Emissions (CO2eq)","Agriculture total","2004","gigagrams","701436.2655",""
"Agriculture Total","Africa","Emissions (CO2eq)","Agriculture total","2005","gigagrams","738007.1709",""
"Agriculture Total","Africa","Emissions (CO2eq)","Agriculture total","2006","gigagrams","719847.8506",""
"Agriculture Total","Africa","Emissions (CO2eq)","Agriculture total","2007","gigagrams","753429.3622",""
"Agriculture Total","Africa","Emissions (CO2eq)","Agriculture total","2008","gigagrams","777691.0113",""
"Agriculture Total","Africa","Emissions (CO2eq)","Agriculture total","2009","gigagrams","765012.6749",""
"Agriculture Total","Africa","Emissions (CO2eq)","Agriculture total","2010","gigagrams","796472.5509",""
"Agriculture Total","Africa","Emissions (CO2eq)","Agriculture total","2011","gigagrams","810924.4672",""
"Agriculture Total","Africa","Emissions (CO2eq)","Agriculture total","2012","gigagrams","810419.4123",""
"Agriculture Total","Africa","Emissions (CO2eq)","Agriculture total","2013","gigagrams","828719.8434",""
"Agriculture Total","Africa","Emissions (CO2eq)","Agriculture total","2014","gigagrams","830965.9489",""
"Agriculture Total","Americas","Emissions (CO2eq)","Agriculture total","2004","gigagrams","1263073.5611",""
"Agriculture Total","Americas","Emissions (CO2eq)","Agriculture total","2005","gigagrams","1274290.6162",""
"Agriculture Total","Americas","Emissions (CO2eq)","Agriculture total","2006","gigagrams","1270835.9136",""
"Agriculture Total","Americas","Emissions (CO2eq)","Agriculture total","2007","gigagrams","1294779.9298",""
"Agriculture Total","Americas","Emissions (CO2eq)","Agriculture total","2008","gigagrams","1282606.1226",""
"Agriculture Total","Americas","Emissions (CO2eq)","Agriculture total","2009","gigagrams","1278709.8675",""
"Agriculture Total","Americas","Emissions (CO2eq)","Agriculture total","2010","gigagrams","1301494.8317",""
"Agriculture Total","Americas","Emissions (CO2eq)","Agriculture total","2011","gigagrams","1306080.3522",""
"Agriculture Total","Americas","Emissions (CO2eq)","Agriculture total","2012","gigagrams","1311027.7129",""
"Agriculture Total","Americas","Emissions (CO2eq)","Agriculture total","2013","gigagrams","1311247.8707",""
"Agriculture Total","Americas","Emissions (CO2eq)","Agriculture total","2014","gigagrams","1326312.6004",""
"Agriculture Total","Asia","Emissions (CO2eq)","Agriculture total","2004","gigagrams","2029037.3941",""
"Agriculture Total","Asia","Emissions (CO2eq)","Agriculture total","2005","gigagrams","2066937.4724",""
"Agriculture Total","Asia","Emissions (CO2eq)","Agriculture total","2006","gigagrams","2109975.1857",""
"Agriculture Total","Asia","Emissions (CO2eq)","Agriculture total","2007","gigagrams","2133800.6592",""
"Agriculture Total","Asia","Emissions (CO2eq)","Agriculture total","2008","gigagrams","2167077.5487",""
"Agriculture Total","Asia","Emissions (CO2eq)","Agriculture total","2009","gigagrams","2196578.902",""
"Agriculture Total","Asia","Emissions (CO2eq)","Agriculture total","2010","gigagrams","2219059.1199",""
"Agriculture Total","Asia","Emissions (CO2eq)","Agriculture total","2011","gigagrams","2235537.0706",""
"Agriculture Total","Asia","Emissions (CO2eq)","Agriculture total","2012","gigagrams","2256728.6337",""
"Agriculture Total","Asia","Emissions (CO2eq)","Agriculture total","2013","gigagrams","2272164.8478",""
"Agriculture Total","Asia","Emissions (CO2eq)","Agriculture total","2014","gigagrams","2281895.472",""
"Agriculture Total","Europe","Emissions (CO2eq)","Agriculture total","2004","gigagrams","602121.658",""
"Agriculture Total","Europe","Emissions (CO2eq)","Agriculture total","2005","gigagrams","587867.23",""
"Agriculture Total","Europe","Emissions (CO2eq)","Agriculture total","2006","gigagrams","580712.5192",""
"Agriculture Total","Europe","Emissions (CO2eq)","Agriculture total","2007","gigagrams","585581.6706",""
"Agriculture Total","Europe","Emissions (CO2eq)","Agriculture total","2008","gigagrams","586577.3533",""
"Agriculture Total","Europe","Emissions (CO2eq)","Agriculture total","2009","gigagrams","574565.3564",""
"Agriculture Total","Europe","Emissions (CO2eq)","Agriculture total","2010","gigagrams","573001.5938",""
"Agriculture Total","Europe","Emissions (CO2eq)","Agriculture total","2011","gigagrams","568267.2043",""
"Agriculture Total","Europe","Emissions (CO2eq)","Agriculture total","2012","gigagrams","567616.9593",""
"Agriculture Total","Europe","Emissions (CO2eq)","Agriculture total","2013","gigagrams","573716.0606",""
"Agriculture Total","Europe","Emissions (CO2eq)","Agriculture total","2014","gigagrams","577856.7686",""
"Agriculture Total","Oceania","Emissions (CO2eq)","Agriculture total","2004","gigagrams","204235.2057",""
"Agriculture Total","Oceania","Emissions (CO2eq)","Agriculture total","2005","gigagrams","171029.1122",""
"Agriculture Total","Oceania","Emissions (CO2eq)","Agriculture total","2006","gigagrams","201207.724",""
"Agriculture Total","Oceania","Emissions (CO2eq)","Agriculture total","2007","gigagrams","187263.7",""
"Agriculture Total","Oceania","Emissions (CO2eq)","Agriculture total","2008","gigagrams","161359.8577",""
"Agriculture Total","Oceania","Emissions (CO2eq)","Agriculture total","2009","gigagrams","169969.6362",""
"Agriculture Total","Oceania","Emissions (CO2eq)","Agriculture total","2010","gigagrams","149153.113",""
"Agriculture Total","Oceania","Emissions (CO2eq)","Agriculture total","2011","gigagrams","235361.0925",""
"Agriculture Total","Oceania","Emissions (CO2eq)","Agriculture total","2012","gigagrams","236743.8974",""
"Agriculture Total","Oceania","Emissions (CO2eq)","Agriculture total","2013","gigagrams","170782.0569",""
"Agriculture Total","Oceania","Emissions (CO2eq)","Agriculture total","2014","gigagrams","188517.5802",""
